timestamp,age,gender,city,position,total_experience_years,experience_years_germany,seniority_level,main_technology,yearly_salary_eur,yearly_bonus_stocks_eur,vacation_days,employment_status,contract_duration,work_language,company_size,company_type,job_loss_covid,age_range
2020-11-24 11:54:18,36,Male,Berlin,Frontend Developer,12.0,4.0,Senior,JavaScript,72000.0,0,26,full_time,Unlimited contract,english,up to 10,Startup,no,35-40
2020-11-24 11:54:32,27,Male,Munich,Qa Engineer,5.0,1.0,Senior,Swift,58000.0,5800,30,full_time,Unlimited contract,english,1000+,Product,no,25-34
2020-11-24 11:55:06,35,Male,Frankfurt,Ml Engineer,12.0,10.0,Senior,Python,120000.0,30000,30,full_time,Unlimited contract,english,1000+,Product,no,35-40
2020-11-24 11:55:07,37,Male,Munich,Software Engineer,15.0,2.0,Senior,PHP,75000.0,0,30,full_time,Unlimited contract,german,101-1000,Product,no,35-40
2020-11-24 11:55:33,26,Male,Munich,Data Scientist,3.0,2.0,Middle,Python,65000.0,7000,30,full_time,Unlimited contract,english,101-1000,Product,no,25-34
2020-11-24 11:55:57,33,Male,Frankfurt,Solution Architect,6.0,6.0,Middle,Python,85000.0,40000,28,full_time,Unlimited contract,english,1000+,Product,no,25-34
2020-11-24 11:56:00,34,Male,Berlin,Frontend Developer,7.0,1.0,Senior,JavaScript,65000.0,0,25,full_time,Unlimited contract,english,up to 10,Startup,no,25-34
2020-11-24 11:56:05,33,Male,Berlin,Backend Developer,12.0,6.0,Lead,PHP,65000.0,0,27,full_time,Unlimited contract,english,101-1000,Product,no,25-34
2020-11-24 11:56:25,30,Male,Berlin,Qa Engineer,6.0,6.0,Middle,JavaScript,50000.0,0,30,full_time,Unlimited contract,english,101-1000,Product,no,25-34
2020-11-24 11:56:47,29,Male,Berlin,Backend Developer,8.0,0.0,Senior,Scala,72000.0,0,25,full_time,Unlimited contract,english,101-1000,Startup,no,25-34
2020-11-24 11:56:56,24,Male,Munich,Software Engineer,5.0,2.0,Middle,C++,79000.0,56000,30,full_time,Unlimited contract,english,1000+,Product,no,20-24
2020-11-24 11:57:37,28,Female,Munich,Qa Engineer,6.0,2.0,Middle,unknown,65000.0,3000,25,full_time,Unlimited contract,english,1000+,Product,no,25-34
2020-11-24 11:57:53,30,Female,Berlin,Software Engineer,8.0,2.0,Senior,Scala,75000.0,0,35,full_time,Unlimited contract,english,101-1000,Product,no,25-34
2020-11-24 11:57:55,28,Male,Cologne,Bi Consultant,8.0,1.0,Senior,SQL,60000.0,12000,28,full_time,Unlimited contract,english,up to 10,Consulting,no,25-34
2020-11-24 11:58:24,31,Male,Munich,Backend Developer,11.0,1.0,Senior,PHP,80000.0,4000,30,full_time,Unlimited contract,english,1000+,Product,no,25-34
2020-11-24 11:59:14,28,Male,Munich,Mobile Developer,5.0,3.0,Senior,Swift,57000.0,8000,30,full_time,Unlimited contract,english,1000+,Product,no,25-34
2020-11-24 11:59:20,32,Female,Kempten,Full-Stack Developer,10.0,1.0,Middle,C#,49000.0,0,30,full_time,Unlimited contract,english and german,51-100,Product,no,25-34
2020-11-24 11:59:33,28,Male,Berlin,Software Engineer,6.0,2.0,Senior,Java,65000.0,75000,28,full_time,Unlimited contract,english,11-50,Startup,no,25-34
2020-11-24 11:59:38,26,Female,Munich,Data Scientist,3.0,1.0,Junior,Python,70000.0,12000,28,full_time,Unlimited contract,english,1000+,Product,no,25-34
2020-11-24 12:00:01,33,Male,Berlin,Mobile Developer,6.0,4.0,Middle,Swift,63000.0,6300,28,full_time,Unlimited contract,english,101-1000,Product,no,25-34
2020-11-24 12:00:20,41,Male,Munich,Product Manager,18.0,3.0,Middle,unknown,72000.0,0,30,full_time,Unlimited contract,english,1000+,Product,no,40-45
2020-11-24 12:00:59,31,Male,Berlin,Software Engineer,9.0,1.0,Senior,C#,60000.0,6000,25,full_time,Unlimited contract,english,11-50,Startup,no,25-34
2020-11-24 12:01:01,30,Male,Munich,Frontend Developer,6.0,1.0,Senior,JavaScript,75000.0,101,28,full_time,Unlimited contract,english,51-100,Product,no,25-34
2020-11-24 12:01:59,31,Male,Berlin,Frontend Developer,8.0,1.0,Senior,JavaScript,70000.0,101,24,full_time,Unlimited contract,english,101-1000,Startup,no,25-34
2020-11-24 12:02:04,37,Male,Munich,Backend Developer,12.0,4.0,Senior,PHP,62000.0,5000,28,full_time,Unlimited contract,english,101-1000,Product,no,35-40
2020-11-24 12:04:10,30,Male,Berlin,Software Engineer,10.0,5.0,Lead,Python,78000.0,1000,0,full_time,Unlimited contract,english,101-1000,Startup,no,25-34
2020-11-24 12:06:20,25,Male,Munich,Backend Developer,5.0,0.0,Senior,Java,75000.0,5000,24,full_time,Unlimited contract,english,101-1000,Product,no,25-34
2020-11-24 12:06:41,36,Male,Berlin,Backend Developer,19.0,5.0,Senior,PHP,69000.0,0,28,full_time,Unlimited contract,english,101-1000,Product,no,35-40
2020-11-24 12:06:58,40,Male,Berlin,Frontend Developer,7.0,1.0,Middle,JavaScript,54000.0,0,24,full_time,Unlimited contract,english,11-50,Product,no,40-45
2020-11-24 12:07:16,37,Male,Berlin,Product Manager,6.0,6.0,Middle,unknown,62000.0,62000,30,full_time,Unlimited contract,german,101-1000,Product,no,35-40
2020-11-24 12:07:26,35,Male,Munich,Software Engineer,13.0,4.0,Senior,Java,80000.0,1500,40,full_time,Unlimited contract,english,101-1000,Product,no,35-40
2020-11-24 12:07:43,42,Male,Berlin,Software Engineer,20.0,5.0,Senior,Ruby,80000.0,0,27,full_time,Unlimited contract,german,51-100,Product,no,40-45
2020-11-24 12:07:44,34,Male,Berlin,Qa Engineer,10.0,4.0,Senior,Java,75000.0,3000,28,full_time,Unlimited contract,english,101-1000,Startup,no,25-34
2020-11-24 12:07:47,30,Male,Berlin,Backend Developer,6.0,2.0,Senior,Ruby,75000.0,75000,30,full_time,Unlimited contract,english,101-1000,Product,no,25-34
2020-11-24 12:08:51,35,Male,Berlin,Software Engineer,12.0,1.0,Senior,C#,70000.0,22000,25,full_time,Unlimited contract,english,1000+,Product,no,35-40
2020-11-24 12:09:03,34,Male,Munich,Cloud Architect,10.0,4.0,Senior,Python,120000.0,40000,30,full_time,Unlimited contract,english,1000+,Cloud,no,25-34
2020-11-24 12:09:06,35,Male,Berlin,Designer (Ui/Ux),10.0,4.0,Senior,unknown,70000.0,0,25,full_time,Unlimited contract,english,51-100,Product,no,35-40
2020-11-24 12:09:31,35,Male,Berlin,System Administrator,14.0,1.0,Middle,unknown,44000.0,0,27,full_time,Temporary contract,english,101-1000,Startup,no,35-40
2020-11-24 12:09:55,26,Male,Münster,Data Scientist,5.5,3.0,Junior,Python,48000.0,2000,26,full_time,Unlimited contract,german,1000+,Product,no,25-34
